// days of week, months
Monday, el lunes
Tuesday, el martes
Wednesday, el miércoles
Thursday, el jueves
Friday, el viernes
Saturday, el sábado
Sunday, el domingo
January, enero
February, febrero
March, marzo
April, abril
May, mayo
June, junio
July, julio
August, agosto
September, septiembre
October, octubre
November, noviembre
December, deciembre

// basic numbers
0, cero
1, uno
2, dos
3, tres
4, cuatro
5, cinco
6, seis
7, siete
8, ocho
9, nueve
10, diez
11, once
12, doce
13, trece
14, catorce
15, quince
16, dieciséis
17, diecisiete
18, dieciocho
19, diecinueve
20, veinte